@@|et|alien
x(|furious|angry
thumbsdown|dislike|bad
pint|booze|beer
thumbsup|like|bravo
i*|birthday|cake
~u|cuppa|coffee
b)|yeah|cool
:*|tears|cry
:s|ugh|doh
:>|satan|evil
[]|tada|gift
:d|haha|grin
u3|love|heart
(:|breakup|heartache
island|vacation|holiday
>d<|cuddle|hug
:}|lips|kiss
$$$|cash|money
callme|ringring|phone
hush|mute|psst
wet|water|rain
@>|flower|rose
:(|blue|sad
holy|notme|saint
xmas|claus|santa
l)|gn|sleep
:)|happy|smile
(+)|planet|star
hulk|arnie|strong
(*)|hot|sun
:o|ono|surprised
:p|bah|tongue
;)|yep|wink
{*}|hak|xo
